Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_USD,Job_Category
2020,Machine Learning Scientist,SE,FT,20688070.0,JP,JP,S,0.0,248256.84,Machine Learning
2020,Big Data Engineer,SE,FT,8674985.0,GB,GB,M,50.0,104099.82,Data Engineering
2020,Product Data Analyst,MI,FT,1591390.0,HN,HN,S,0.0,19096.68,Data Analytics
2020,Machine Learning Engineer,SE,FT,11935425.0,US,US,L,50.0,143225.1,Machine Learning
2020,Data Analyst,EN,FT,5729004.0,US,US,L,100.0,68748.048,Data Analytics
2020,Lead Data Scientist,SE,FT,15118205.0,US,US,S,100.0,181418.46,Data Science
2020,Data Scientist,MI,FT,2843416.0,HU,HU,L,50.0,34120.992,Data Science
2020,Business Data Analyst,MI,FT,10741883.0,US,US,L,100.0,128902.596,Data Analytics
2020,Lead Data Engineer,SE,FT,9946188.0,NZ,NZ,S,50.0,119354.256,Data Engineering
2020,Data Scientist,MI,FT,3221053.0,IN,IN,L,0.0,38652.636,Data Science
2020,Data Scientist,EN,FT,3176096.0,FR,FR,M,0.0,38113.152,Data Science
2020,Lead Data Analyst,MI,FT,6922547.0,US,US,L,100.0,83070.564,Data Analytics
2020,Data Analyst,MI,FT,6763408.0,US,US,L,100.0,81160.89600000001,Data Analytics
2020,Data Engineer,EN,FT,3317173.0,JP,JP,S,100.0,39806.076,Data Engineering
2020,Big Data Engineer,SE,FT,9074663.0,PL,GB,S,100.0,108895.956,Data Engineering
2020,BI Data Analyst,MI,FT,7797811.0,US,US,M,0.0,93573.732,Data Analytics
2020,Lead Data Scientist,MI,FT,9150493.0,AE,AE,L,0.0,109805.916,Data Science
2020,Data Engineer,SE,FT,2666454.0,MX,MX,S,0.0,31997.448,Data Engineering
2020,Business Data Analyst,EN,CT,7956950.0,US,US,L,100.0,95483.4,Data Analytics
2020,Machine Learning Manager,SE,FT,9317907.0,CA,CA,L,50.0,111814.884,Machine Learning
2020,Big Data Engineer,EN,FT,5569865.0,US,US,L,100.0,66838.38,Data Engineering
2020,Data Scientist,SE,FT,5444782.0,GR,US,L,100.0,65337.384,Data Science
2020,Research Scientist,MI,FT,35806275.0,US,US,M,0.0,429675.3,Other
2020,Data Analyst,MI,FT,3720590.0,FR,FR,L,50.0,44647.08,Data Analytics
2020,Data Engineer,MI,FT,5898487.0,AT,AT,L,50.0,70781.844,Data Engineering
2020,Machine Learning Engineer,EN,FT,19892375.0,US,US,L,50.0,238708.5,Machine Learning
2020,Machine Learning Engineer,EN,FT,10980591.0,US,US,S,100.0,131767.092,Machine Learning
2020,Data Engineering Manager,EX,FT,6352272.0,ES,ES,L,50.0,76227.264,Data Engineering
2020,Data Engineer,MI,FT,8434367.0,US,US,L,100.0,101212.404,Data Engineering
2020,Data Scientist,MI,FT,6123510.0,GB,GB,S,100.0,73482.12,Data Science
2020,Data Scientist,MI,FT,8354798.0,US,US,L,100.0,100257.576,Data Science
2020,Data Engineer,MI,FT,5580925.0,FR,FR,L,50.0,66971.1,Data Engineering
2020,Data Analyst,EN,FT,7240825.0,US,US,L,100.0,86889.90000000001,Data Analytics
2020,Data Engineer,EN,FT,4355794.0,PK,DE,L,100.0,52269.528,Data Engineering
2020,Principal Data Scientist,SE,FT,11797054.0,DE,DE,M,100.0,141564.64800000002,Data Science
2020,Data Scientist,MI,FT,3085387.0,ES,ES,M,100.0,37024.644,Data Science
2020,Data Scientist,SE,FT,9548340.0,US,US,L,50.0,114580.08,Data Science
2020,Data Scientist,MI,FT,11008440.0,US,US,M,100.0,132101.28,Data Science
2020,Data Engineer,MI,FT,10407691.0,ES,US,M,100.0,124892.292,Data Engineering
2020,Data Scientist,EN,PT,1724191.0,IT,IT,S,50.0,20690.292,Data Science
2020,Machine Learning Engineer,SE,FT,3629801.0,HR,HR,S,100.0,43557.612,Machine Learning
2020,Data Scientist,EN,FT,4991076.0,DE,DE,S,50.0,59892.912,Data Science
2020,Data Science Manager,SE,FT,15134119.0,US,US,M,100.0,181609.428,Managerial
2020,Data Scientist,EN,FT,8354798.0,US,US,S,100.0,100257.576,Data Science
2020,Data Scientist,SE,FT,7259682.0,AT,AT,S,0.0,87116.18400000001,Data Science
2020,Data Scientist,MI,FT,3357594.0,FR,FR,S,50.0,40291.128,Data Science
2021,BI Data Analyst,EX,FT,11935425.0,IN,US,L,100.0,143225.1,Data Analytics
2021,Head of Data,EX,FT,18698833.0,US,US,L,100.0,224385.996,Managerial
2021,3D Computer Vision Researcher,MI,PT,430391.0,IN,IN,M,50.0,5164.692,Other
2021,Data Analyst,EN,FT,6365560.0,US,US,M,100.0,76386.72,Data Analytics
2021,Data Engineer,MI,FT,11139730.0,US,US,L,100.0,133676.76,Data Engineering
2021,Applied Data Scientist,MI,FT,4315691.0,GB,CA,L,50.0,51788.292,Data Science
2021,Machine Learning Engineer,MI,FT,3762205.0,ES,ES,S,100.0,45146.46,Machine Learning
2021,Data Engineer,MI,FT,2265821.0,PL,PL,L,100.0,27189.852,Data Engineering
2021,Data Analyst,EN,FT,4702717.0,FR,FR,M,50.0,56432.604,Data Analytics
2021,Data Analytics Engineer,MI,FT,8752645.0,US,US,L,100.0,105031.74,Data Analytics
2021,Data Analyst,SE,FT,6365560.0,BG,US,S,100.0,76386.72,Data Analytics
2021,Data Science Consultant,EN,FT,6113563.0,DE,DE,S,100.0,73362.75600000001,Other
2021,Lead Data Analyst,MI,FT,1560278.0,IN,IN,L,100.0,18723.336,Data Analytics
2021,Lead Data Engineer,SE,FT,21961182.0,US,US,L,0.0,263534.184,Data Engineering
2021,AI Scientist,EN,PT,954834.0,BR,US,S,100.0,11458.008,Machine Learning
2021,Financial Data Analyst,MI,FT,35806275.0,US,US,L,100.0,429675.3,Data Analytics
2021,Computer Vision Software Engineer,EN,FT,5569865.0,US,US,M,100.0,66838.38,Other
2021,Computer Vision Software Engineer,MI,FT,7618461.0,DE,US,S,100.0,91421.532,Other
2021,Data Engineer,SE,FT,11935425.0,US,US,L,100.0,143225.1,Data Engineering
2021,BI Data Analyst,MI,FT,2885111.0,HU,US,L,50.0,34621.332,Data Analytics
2021,Data Analyst,MI,FT,4933309.0,US,US,L,0.0,59199.708,Data Analytics
2021,Research Scientist,MI,FT,14914666.0,CA,CA,L,100.0,178975.992,Other
2021,Data Engineer,SE,FT,9150493.0,US,US,S,100.0,109805.916,Data Engineering
2021,Data Engineer,EN,FT,2421141.0,IN,IN,L,100.0,29053.692,Data Engineering
2021,Director of Data Engineering,SE,FT,9029229.0,GB,GB,M,100.0,108350.748,Data Engineering
2021,Lead Data Engineer,SE,FT,8208390.0,GB,GB,S,100.0,98500.68,Data Engineering
2021,AI Scientist,EN,PT,954834.0,PK,US,M,100.0,11458.008,Machine Learning
2021,Machine Learning Scientist,EN,FT,17903138.0,US,US,L,100.0,214837.656,Machine Learning
2021,Data Scientist,MI,FT,3978475.0,NG,NG,L,100.0,47741.7,Data Science
2021,Data Science Engineer,MI,FT,3197819.0,GR,GR,M,100.0,38373.828,Other
2021,Data Analyst,EN,FT,7161255.0,US,US,S,100.0,85935.06,Data Analytics
2021,Data Engineer,MI,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
2021,Principal Data Engineer,SE,FT,15913900.0,US,US,M,100.0,190966.8,Data Engineering
2021,Data Analyst,EN,FT,3978475.0,US,US,M,100.0,47741.7,Data Analytics
2021,Applied Data Scientist,EN,FT,8755589.0,GB,GB,L,0.0,105067.068,Data Science
2021,Data Analyst,EN,PT,823863.0,ES,ES,M,50.0,9886.356,Data Analytics
2021,Data Scientist,MI,FT,753205.0,IN,IN,S,0.0,9038.46,Data Science
2021,Machine Learning Engineer,EN,FT,1591390.0,IN,IN,S,100.0,19096.68,Machine Learning
2021,Lead Data Scientist,SE,FT,3228135.0,IN,IN,L,50.0,38737.62,Data Science
2021,Data Scientist,EN,FT,3950307.0,FR,FR,M,50.0,47403.684,Data Science
2021,Data Scientist,EN,FT,7956950.0,US,US,S,0.0,95483.4,Data Science
2021,ML Engineer,MI,FT,5069452.0,JP,JP,S,50.0,60833.424,Machine Learning
2021,ML Engineer,MI,FT,6155815.0,JP,JP,S,50.0,73869.78,Machine Learning
2021,Principal Data Scientist,SE,FT,17505290.0,US,US,L,0.0,210063.48,Data Science
2021,Data Scientist,EN,FT,6365560.0,US,US,M,100.0,76386.72,Data Science
2021,Data Engineering Manager,SE,FT,11935425.0,US,US,L,0.0,143225.1,Data Engineering
2021,Data Scientist,MI,FT,6564484.0,US,US,S,100.0,78773.808,Data Science
2021,Machine Learning Engineer,SE,FT,6583899.0,BE,BE,M,50.0,79006.788,Machine Learning
2021,Research Scientist,MI,FT,4984950.0,FR,FR,M,50.0,59819.4,Other
2021,Data Engineering Manager,SE,FT,12174134.0,US,US,L,100.0,146089.608,Data Engineering
2021,Cloud Data Engineer,SE,FT,12731120.0,BR,US,S,100.0,152773.44,Data Engineering
2021,Data Scientist,MI,FT,11935425.0,US,US,M,100.0,143225.1,Data Science
2021,Data Scientist,EN,FT,1066231.0,UA,UA,L,100.0,12794.772,Data Science
2021,Data Science Engineer,SE,FT,10122911.0,CA,CA,L,50.0,121474.932,Other
2021,Applied Machine Learning Scientist,MI,FT,33657899.0,US,US,L,50.0,403894.788,Machine Learning
2021,Data Analytics Manager,SE,FT,9548340.0,US,US,M,100.0,114580.08,Data Analytics
2021,Machine Learning Engineer,EN,FT,9946188.0,US,US,S,100.0,119354.256,Machine Learning
2021,Head of Data Science,EX,FT,6763408.0,RU,RU,M,0.0,81160.89600000001,Managerial
2021,Data Science Consultant,EN,FT,5079001.0,DE,DE,L,50.0,60948.012,Other
2021,Director of Data Science,EX,FT,10346104.0,DE,DE,M,50.0,124153.248,Managerial
2021,Data Engineer,EN,FT,6365560.0,US,US,L,100.0,76386.72,Data Engineering
2021,Director of Data Science,EX,FT,19892375.0,US,US,L,0.0,238708.5,Managerial
2021,Data Architect,MI,FT,11935425.0,US,US,L,100.0,143225.1,Data Engineering
2021,Data Analyst,EN,FT,4774170.0,US,US,S,100.0,57290.04,Data Analytics
2021,Principal Data Scientist,SE,FT,18698833.0,US,US,L,100.0,224385.996,Data Science
2021,Research Scientist,SE,FT,4834404.0,PT,PT,L,50.0,58012.848,Other
2021,Data Scientist,MI,FT,3185804.0,CL,CL,L,100.0,38229.648,Data Science
2021,Machine Learning Engineer,EN,FT,6445130.0,US,US,S,50.0,77341.56,Machine Learning
2021,Data Scientist,MI,FT,451875.0,IN,US,S,100.0,5422.5,Data Science
2021,Data Scientist,MI,FT,7219659.0,DE,DE,L,50.0,86635.908,Data Science
2021,Finance Data Analyst,SE,FT,4925034.0,GB,GB,L,50.0,59100.408,Data Analytics
2021,Machine Learning Scientist,MI,FL,954834.0,PK,PK,M,50.0,11458.008,Machine Learning
2021,Data Engineer,MI,FT,318278.0,IR,IR,M,100.0,3819.336,Data Engineering
2021,Data Analytics Engineer,SE,FT,3978475.0,VN,GB,M,100.0,47741.7,Data Analytics
2021,Data Science Consultant,EX,FT,5549256.0,FR,ES,S,100.0,66591.072,Other
2021,Machine Learning Engineer,EN,FT,1738116.0,CO,CO,M,50.0,20857.392,Machine Learning
2021,Big Data Engineer,MI,FT,1432251.0,MD,MD,S,0.0,17187.012,Data Engineering
2021,Data Science Manager,SE,FT,13845093.0,US,US,L,100.0,166141.116,Managerial
2021,Research Scientist,SE,FT,7647663.0,CA,CA,L,50.0,91771.956,Other
2021,BI Data Analyst,EN,FT,737768.0,KE,KE,S,100.0,8853.216,Data Analytics
2021,Machine Learning Engineer,SE,FT,1936881.0,IN,IN,L,100.0,23242.572,Machine Learning
2021,Data Science Consultant,EN,FT,7161255.0,US,US,S,100.0,85935.06,Other
2021,Machine Learning Infrastructure Engineer,SE,FT,15516053.0,US,US,M,100.0,186192.636,Data Engineering
2021,Data Scientist,MI,FT,3009716.0,ES,ES,L,100.0,36116.592,Data Science
2021,Research Scientist,SE,FT,3978475.0,FR,US,S,100.0,47741.7,Other
2021,Data Scientist,MI,FT,12731120.0,US,US,L,100.0,152773.44,Data Science
2021,Data Scientist,MI,FT,1026526.0,BR,BR,S,0.0,12318.312,Data Science
2021,Machine Learning Engineer,SE,FT,15913900.0,US,US,L,100.0,190966.8,Machine Learning
2021,Data Engineer,SE,FT,13128968.0,US,US,M,0.0,157547.616,Data Engineering
2021,Research Scientist,MI,FT,4514614.0,FR,FR,S,50.0,54175.368,Other
2021,Data Engineer,MI,FT,5253338.0,HK,GB,S,50.0,63040.056,Data Engineering
2021,Big Data Engineer,EN,FT,468028.0,IN,CH,L,0.0,5616.336,Data Engineering
2021,Machine Learning Engineer,EN,FT,1975154.0,DE,DE,M,50.0,23701.848,Machine Learning
2021,Principal Data Engineer,SE,FT,14720358.0,US,US,L,100.0,176644.296,Data Engineering
2021,Data Scientist,MI,FT,7219659.0,DE,DE,L,50.0,86635.908,Data Science
2021,Machine Learning Engineer,MI,FT,7054154.0,BE,BE,M,100.0,84649.848,Machine Learning
2021,Data Analytics Manager,SE,FT,11139730.0,US,US,L,100.0,133676.76,Data Analytics
2021,Data Scientist,MI,FT,9302789.0,GB,GB,L,50.0,111633.468,Data Science
2021,Data Scientist,MI,FT,2690086.0,IN,IN,M,0.0,32281.032,Data Science
2021,Data Scientist,MI,FT,4476262.0,GB,GB,L,50.0,53715.144,Data Science
2021,Machine Learning Scientist,SE,FT,17903138.0,US,CA,L,100.0,214837.656,Machine Learning
2021,Data Scientist,SE,FT,6981269.0,CA,CA,S,100.0,83775.228,Data Science
2021,Data Scientist,MI,FT,7054154.0,DE,DE,L,50.0,84649.848,Data Science
2021,Data Analyst,SE,FT,5711976.0,CA,CA,M,100.0,68543.712,Data Analytics
2021,Director of Data Engineering,SE,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
2021,Data Analyst,SE,FT,15913900.0,US,US,L,100.0,190966.8,Data Analytics
2021,Research Scientist,MI,FT,5077330.0,CA,CA,M,100.0,60927.96,Other
2021,Data Scientist,MI,FT,3724569.0,ES,ES,M,100.0,44694.828,Data Science
2021,Data Scientist,EN,FT,318278.0,VN,VN,M,0.0,3819.336,Data Science
2021,Data Engineer,EN,FT,1721645.0,IN,IN,M,50.0,20659.74,Data Engineering
2021,Data Analyst,MI,FT,6365560.0,US,US,L,100.0,76386.72,Data Analytics
2021,Data Scientist,SE,FT,13128968.0,US,US,L,100.0,157547.616,Data Science
2021,AI Scientist,EN,FT,1436468.0,IN,AS,S,100.0,17237.616,Machine Learning
2021,Data Engineer,MI,FT,5745873.0,GB,GB,L,50.0,68950.476,Data Engineering
2021,Data Scientist,EN,FT,2915665.0,FR,FR,L,50.0,34987.98,Data Science
2021,Data Engineer,SE,FT,7661111.0,GB,GB,L,50.0,91933.332,Data Engineering
2021,Principal Data Analyst,SE,FT,13526815.0,US,US,M,100.0,162321.78,Data Analytics
2021,Data Scientist,EN,FT,7161255.0,US,US,S,100.0,85935.06,Data Science
2021,Data Scientist,EN,FT,2259694.0,IN,IN,M,100.0,27116.328,Data Science
2021,Data Analyst,MI,FT,7399964.0,US,US,L,100.0,88799.568,Data Analytics
2021,Data Engineer,MI,FT,15913900.0,US,US,L,100.0,190966.8,Data Engineering
2021,Principal Data Scientist,SE,FT,13826155.0,DE,DE,M,100.0,165913.86000000002,Data Science
2021,Machine Learning Engineer,SE,FT,14720358.0,US,US,L,50.0,176644.296,Machine Learning
2021,Director of Data Science,EX,FT,11286615.0,DE,DE,L,0.0,135439.38,Managerial
2021,Data Analyst,SE,FT,5079001.0,DE,DE,L,50.0,60948.012,Data Analytics
2021,Data Scientist,MI,FT,1345043.0,IN,IN,S,100.0,16140.516,Data Science
2021,Machine Learning Engineer,SE,FT,5272673.0,IN,IN,L,0.0,63272.076,Machine Learning
2021,Lead Data Engineer,SE,FT,12731120.0,PR,US,S,50.0,152773.44,Data Engineering
2021,Data Engineer,MI,FT,8893881.0,US,US,M,0.0,106726.572,Data Engineering
2021,Data Engineer,MI,FT,2229219.0,TR,TR,M,100.0,26750.628,Data Engineering
2021,Data Engineer,EN,FT,5173052.0,DE,DE,M,50.0,62076.624,Data Engineering
2021,Computer Vision Engineer,SE,FT,1504421.0,BR,BR,M,0.0,18053.052,Other
2021,Data Science Consultant,EN,FT,6113563.0,DE,DE,L,0.0,73362.75600000001,Other
2021,Data Scientist,SE,FT,6181277.0,FR,FR,M,50.0,74175.32400000001,Data Science
2021,Data Scientist,EN,FT,4615031.0,US,US,L,50.0,55380.372,Data Science
2021,AI Scientist,SE,FT,4376323.0,ES,ES,L,100.0,52515.876,Machine Learning
2021,Data Scientist,SE,FT,1604996.0,TR,TR,L,50.0,19259.952,Data Science
2021,Business Data Analyst,EN,FT,4702717.0,LU,LU,L,100.0,56432.604,Data Analytics
2021,Research Scientist,EN,FT,7956950.0,JE,CN,L,0.0,95483.4,Other
2021,Staff Data Scientist,SE,CT,8354798.0,US,US,M,100.0,100257.576,Data Science
2021,Research Scientist,MI,FT,5569785.0,CZ,CZ,L,50.0,66837.42,Other
2021,Data Scientist,MI,FT,8673076.0,US,US,L,50.0,104076.912,Data Science
2022,Data Engineer,SE,FT,10741883.0,US,US,M,100.0,128902.596,Data Engineering
2022,Data Analyst,SE,FT,9596082.0,US,US,M,100.0,115152.984,Data Analytics
2022,Data Scientist,MI,FT,10344035.0,US,US,M,0.0,124128.42,Data Science
2022,Data Scientist,MI,FT,7161255.0,US,US,M,0.0,85935.06,Data Science
2022,Data Engineer,MI,FT,11935425.0,US,US,M,100.0,143225.1,Data Engineering
2022,Data Analyst,SE,FT,8124046.0,US,US,M,100.0,97488.552,Data Analytics
2022,Data Analyst,SE,FT,6755451.0,US,US,M,100.0,81065.412,Data Analytics
2022,Data Scientist,SE,FT,10870785.0,US,US,M,100.0,130449.42,Data Science
2022,Data Scientist,SE,FT,7906026.0,US,US,M,100.0,94872.312,Data Science
2022,Data Scientist,SE,FT,8331086.0,GB,GB,M,0.0,99973.032,Data Science
2022,Data Scientist,SE,FT,11617147.0,US,US,M,100.0,139405.764,Data Science
2022,Data Scientist,SE,FT,9787049.0,US,US,M,100.0,117444.588,Data Science
2022,Data Analyst,SE,FT,7877381.0,US,US,M,0.0,94528.572,Data Analytics
