Height m,Buttock Height,Waist Circumference,Shoulder Circumference
1.776,882.0,933.0,1151.0
1.702,870.0,870.0,1119.0
1.735,901.0,964.0,1276.0
1.655,821.0,857.0,1155.0
1.914,1080.0,868.0,1231.0
1.72,871.0,950.0,1172.0
1.81,919.0,1073.0,1331.0
1.85,950.0,1010.0,1188.0
1.777,926.0,1065.0,1212.0
1.811,944.0,824.0,1094.0
1.78,879.0,994.0,1203.0
1.733,937.0,866.0,1126.0
1.814,989.0,986.0,1275.0
1.861,976.0,1045.0,1354.0
1.709,856.0,1007.0,1149.0
1.74,946.0,1033.0,1224.0
1.694,852.0,908.0,1145.0
1.766,910.0,1028.0,1152.0
1.7480000000000002,904.0,874.0,1140.0
1.794,898.0,999.0,1146.0
1.78,895.0,837.0,1125.0
1.68,820.0,880.0,1121.0
1.653,877.0,978.0,1170.0
1.959,1057.0,827.0,1203.0
1.755,893.0,1030.0,1160.0
1.63,825.0,885.0,1031.0
1.825,951.0,1130.0,1238.0
1.795,896.0,912.0,1095.0
1.745,900.0,864.0,1084.0
1.818,901.0,965.0,1135.0
1.881,944.0,777.0,1141.0
1.76,903.0,1063.0,1141.0
1.675,850.0,870.0,1040.0
1.852,989.0,966.0,1182.0
1.785,898.0,806.0,1123.0
1.791,920.0,1096.0,1154.0
1.685,862.0,895.0,1013.0
1.85,963.0,1214.0,1253.0
1.737,897.0,790.0,1147.0
1.743,860.0,1002.0,1209.0
1.744,900.0,748.0,1012.0
1.679,874.0,1043.0,1233.0
1.836,912.0,864.0,1150.0
1.73,893.0,969.0,1244.0
1.7619999999999998,899.0,1095.0,1167.0
1.669,805.0,770.0,1086.0
1.74,844.0,840.0,1100.0
1.709,908.0,1028.0,1190.0
1.879,970.0,1021.0,1195.0
1.6740000000000002,831.0,1061.0,1123.0
1.779,911.0,1139.0,1254.0
1.844,939.0,922.0,1164.0
1.6369999999999998,847.0,995.0,1073.0
1.754,907.0,1047.0,1187.0
1.704,842.0,885.0,1155.0
1.84,971.0,1379.0,1309.0
1.783,973.0,750.0,1093.0
1.7480000000000002,882.0,970.0,1184.0
1.703,898.0,1068.0,1252.0
1.852,936.0,1012.0,1234.0
1.609,841.0,754.0,1035.0
1.709,909.0,926.0,1130.0
1.835,950.0,827.0,1065.0
1.679,883.0,940.0,1141.0
1.742,912.0,1133.0,1161.0
1.6980000000000002,885.0,843.0,1037.0
1.671,840.0,1021.0,1112.0
1.85,969.0,1061.0,1258.0
1.754,884.0,786.0,1117.0
1.619,842.0,855.0,1143.0
1.7719999999999998,917.0,830.0,1116.0
1.705,922.0,743.0,1067.0
1.619,815.0,967.0,1143.0
1.726,870.0,922.0,1156.0
1.84,963.0,1120.0,1192.0
1.743,894.0,1060.0,1217.0
1.6740000000000002,845.0,1030.0,1201.0
1.75,938.0,974.0,1264.0
1.819,935.0,844.0,1271.0
1.7990000000000002,957.0,969.0,1189.0
1.75,932.0,1010.0,1173.0
1.723,914.0,892.0,1140.0
1.809,948.0,1032.0,1142.0
1.791,888.0,851.0,1142.0
1.723,879.0,979.0,1193.0
1.578,746.0,857.0,1013.0
1.7180000000000002,882.0,979.0,1116.0
1.7990000000000002,898.0,984.0,1151.0
1.74,939.0,721.0,1095.0
1.702,870.0,885.0,1137.0
1.737,898.0,961.0,1187.0
1.73,874.0,996.0,1142.0
1.785,901.0,838.0,1064.0
1.817,960.0,752.0,1096.0
1.843,955.0,775.0,1128.0
1.791,950.0,809.0,1179.0
1.6569999999999998,845.0,862.0,1128.0
1.7009999999999998,895.0,1027.0,1124.0
1.786,880.0,797.0,1148.0
1.755,894.0,1082.0,1197.0
1.791,920.0,942.0,1157.0
1.759,890.0,871.0,1127.0
1.79,914.0,912.0,1195.0
1.7819999999999998,896.0,873.0,1123.0
1.839,950.0,785.0,961.0
1.88,977.0,1023.0,1154.0
1.7380000000000002,897.0,924.0,1222.0
1.734,886.0,1001.0,1194.0
1.819,998.0,901.0,1220.0
1.683,884.0,958.0,1162.0
1.815,953.0,972.0,1156.0
1.815,906.0,939.0,1154.0
1.673,845.0,1003.0,1197.0
1.831,931.0,1139.0,1243.0
1.795,959.0,1162.0,1161.0
1.845,960.0,1111.0,1228.0
1.6869999999999998,836.0,900.0,1127.0
1.756,918.0,998.0,1117.0
1.846,1011.0,1330.0,1368.0
1.6569999999999998,836.0,897.0,1219.0
1.632,841.0,911.0,1105.0
1.735,895.0,861.0,1186.0
1.726,889.0,920.0,1064.0
1.877,962.0,1192.0,1258.0
1.887,959.0,1012.0,1183.0
1.765,987.0,845.0,1060.0
1.793,988.0,843.0,1201.0
1.849,930.0,910.0,1268.0
1.811,945.0,879.0,1151.0
1.739,891.0,1031.0,1210.0
1.668,872.0,929.0,1085.0
1.788,926.0,994.0,1144.0
1.746,962.0,815.0,1182.0
1.75,933.0,983.0,1165.0
1.81,923.0,1004.0,1242.0
1.71,853.0,825.0,1115.0
1.847,971.0,1077.0,1223.0
1.811,929.0,952.0,1162.0
1.78,956.0,1047.0,1286.0
1.74,898.0,851.0,1170.0
1.797,919.0,920.0,1224.0
1.755,927.0,934.0,1241.0
1.842,972.0,1114.0,1248.0
1.656,869.0,967.0,1157.0
1.776,908.0,1007.0,1183.0
1.859,989.0,1109.0,1199.0
1.685,850.0,827.0,1154.0
1.775,918.0,947.0,1176.0
1.825,1014.0,881.0,1162.0
1.931,1015.0,833.0,1168.0
1.789,944.0,963.0,1235.0
1.819,953.0,1100.0,1295.0
1.7819999999999998,919.0,852.0,1216.0
1.721,880.0,941.0,1200.0
1.91,1004.0,1026.0,1314.0
1.804,945.0,978.0,1181.0
1.7819999999999998,950.0,1150.0,1235.0
1.777,931.0,935.0,1245.0
1.665,830.0,923.0,1096.0
1.803,950.0,973.0,1183.0
1.879,1008.0,908.0,1272.0
1.733,899.0,1111.0,1226.0
1.835,978.0,1031.0,1204.0
1.7919999999999998,939.0,1164.0,1248.0
1.721,870.0,1006.0,1149.0
1.711,888.0,1018.0,1175.0
1.809,945.0,992.0,1216.0
1.664,869.0,908.0,1168.0
1.807,933.0,1053.0,1212.0
1.705,887.0,912.0,1128.0
1.955,1021.0,1049.0,1291.0
1.73,875.0,917.0,1190.0
1.774,927.0,1066.0,1184.0
1.724,912.0,848.0,1080.0
1.705,888.0,759.0,1097.0
1.838,950.0,959.0,1151.0
1.706,892.0,970.0,1203.0
1.809,960.0,1068.0,1225.0
1.773,933.0,972.0,1134.0
1.734,886.0,993.0,1109.0
1.7480000000000002,898.0,898.0,1134.0
1.651,832.0,964.0,1186.0
1.724,885.0,881.0,1107.0
1.86,954.0,821.0,1122.0
1.715,875.0,801.0,1085.0
1.757,919.0,845.0,1126.0
1.916,979.0,1134.0,1252.0
1.847,992.0,877.0,1173.0
1.855,990.0,951.0,1270.0
1.7180000000000002,880.0,867.0,1083.0
1.641,806.0,1029.0,1178.0
1.833,945.0,879.0,1171.0
1.784,939.0,1015.0,1254.0
1.77,892.0,1034.0,1256.0
1.702,877.0,844.0,1107.0
1.8,933.0,797.0,1151.0
1.715,918.0,892.0,1081.0
1.842,944.0,865.0,1153.0
1.71,880.0,1031.0,1158.0
1.753,951.0,912.0,1215.0
1.935,1015.0,1086.0,1243.0
1.7380000000000002,909.0,914.0,1105.0
1.77,926.0,923.0,1189.0
1.72,917.0,918.0,1193.0
1.673,831.0,831.0,1082.0
1.715,883.0,1182.0,1293.0
1.822,947.0,1054.0,1155.0
1.913,981.0,1118.0,1243.0
1.756,919.0,963.0,1187.0
1.735,881.0,877.0,1205.0
1.726,908.0,912.0,1230.0
1.716,871.0,973.0,1242.0
1.717,879.0,818.0,1029.0
1.7180000000000002,915.0,783.0,1103.0
1.747,923.0,1015.0,1260.0
1.567,861.0,694.0,995.0
1.894,972.0,1121.0,1217.0
1.7380000000000002,927.0,870.0,1151.0
1.862,1002.0,1015.0,1218.0
1.654,858.0,738.0,1012.0
1.6369999999999998,845.0,1032.0,1153.0
1.7380000000000002,884.0,979.0,1231.0
1.813,1024.0,1017.0,1261.0
1.7380000000000002,970.0,883.0,1163.0
1.815,980.0,1068.0,1288.0
1.736,860.0,1179.0,1183.0
1.689,866.0,993.0,1174.0
1.74,913.0,880.0,1065.0
1.7819999999999998,942.0,977.0,1104.0
1.784,961.0,925.0,1133.0
1.6469999999999998,861.0,1010.0,1167.0
1.74,888.0,1004.0,1197.0
1.664,857.0,744.0,1083.0
1.805,945.0,1045.0,1235.0
1.745,932.0,936.0,1206.0
1.605,843.0,755.0,1139.0
1.83,976.0,997.0,1215.0
1.81,967.0,913.0,1171.0
1.731,886.0,921.0,1118.0
1.845,964.0,899.0,1122.0
1.775,965.0,734.0,1112.0
1.795,926.0,1124.0,1253.0
1.664,891.0,976.0,1170.0
1.7519999999999998,906.0,1084.0,1176.0
1.814,963.0,1026.0,1143.0
1.836,981.0,1078.0,1265.0
1.628,849.0,972.0,1107.0
1.64,835.0,903.0,1214.0
1.7280000000000002,850.0,928.0,1209.0
1.606,821.0,779.0,1025.0