index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
50.0,7.0,3.2,4.7,1.4,1.0
51.0,6.4,3.2,4.5,1.5,1.0
52.0,6.9,3.1,4.9,1.5,1.0
53.0,5.5,2.3,4.0,1.3,1.0
54.0,6.5,2.8,4.6,1.5,1.0
55.0,5.7,2.8,4.5,1.3,1.0
56.0,6.3,3.3,4.7,1.6,1.0
57.0,4.9,2.4,3.3,1.0,1.0
58.0,6.6,2.9,4.6,1.3,1.0
59.0,5.2,2.7,3.9,1.4,1.0
60.0,5.0,2.0,3.5,1.0,1.0
61.0,5.9,3.0,4.2,1.5,1.0
62.0,6.0,2.2,4.0,1.0,1.0
63.0,6.1,2.9,4.7,1.4,1.0
64.0,5.6,2.9,3.6,1.3,1.0
65.0,6.7,3.1,4.4,1.4,1.0
66.0,5.6,3.0,4.5,1.5,1.0
67.0,5.8,2.7,4.1,1.0,1.0
68.0,6.2,2.2,4.5,1.5,1.0
69.0,5.6,2.5,3.9,1.1,1.0
70.0,5.9,3.2,4.8,1.8,1.0
71.0,6.1,2.8,4.0,1.3,1.0
72.0,6.3,2.5,4.9,1.5,1.0
73.0,6.1,2.8,4.7,1.2,1.0
74.0,6.4,2.9,4.3,1.3,1.0
75.0,6.6,3.0,4.4,1.4,1.0
76.0,6.8,2.8,4.8,1.4,1.0
77.0,6.7,3.0,5.0,1.7,1.0
78.0,6.0,2.9,4.5,1.5,1.0
79.0,5.7,2.6,3.5,1.0,1.0
80.0,5.5,2.4,3.8,1.1,1.0
81.0,5.5,2.4,3.7,1.0,1.0
82.0,5.8,2.7,3.9,1.2,1.0
83.0,6.0,2.7,5.1,1.6,1.0
84.0,5.4,3.0,4.5,1.5,1.0
85.0,6.0,3.4,4.5,1.6,1.0
86.0,6.7,3.1,4.7,1.5,1.0
87.0,6.3,2.3,4.4,1.3,1.0
88.0,5.6,3.0,4.1,1.3,1.0
89.0,5.5,2.5,4.0,1.3,1.0
90.0,5.5,2.6,4.4,1.2,1.0
91.0,6.1,3.0,4.6,1.4,1.0
92.0,5.8,2.6,4.0,1.2,1.0
93.0,5.0,2.3,3.3,1.0,1.0
94.0,5.6,2.7,4.2,1.3,1.0
95.0,5.7,3.0,4.2,1.2,1.0
96.0,5.7,2.9,4.2,1.3,1.0
97.0,6.2,2.9,4.3,1.3,1.0
98.0,5.1,2.5,3.0,1.1,1.0
99.0,5.7,2.8,4.1,1.3,1.0
100.0,6.3,3.3,6.0,2.5,2.0
101.0,5.8,2.7,5.1,1.9,2.0
102.0,7.1,3.0,5.9,2.1,2.0
103.0,6.3,2.9,5.6,1.8,2.0
104.0,6.5,3.0,5.8,2.2,2.0
105.0,7.6,3.0,6.6,2.1,2.0
106.0,4.9,2.5,4.5,1.7,2.0
107.0,7.3,2.9,6.3,1.8,2.0
108.0,6.7,2.5,5.8,1.8,2.0
109.0,7.2,3.6,6.1,2.5,2.0
110.0,6.5,3.2,5.1,2.0,2.0
111.0,6.4,2.7,5.3,1.9,2.0
112.0,6.8,3.0,5.5,2.1,2.0
113.0,5.7,2.5,5.0,2.0,2.0
114.0,5.8,2.8,5.1,2.4,2.0
115.0,6.4,3.2,5.3,2.3,2.0
116.0,6.5,3.0,5.5,1.8,2.0
117.0,7.7,3.8,6.7,2.2,2.0
118.0,7.7,2.6,6.9,2.3,2.0
119.0,6.0,2.2,5.0,1.5,2.0
120.0,6.9,3.2,5.7,2.3,2.0
121.0,5.6,2.8,4.9,2.0,2.0
122.0,7.7,2.8,6.7,2.0,2.0
123.0,6.3,2.7,4.9,1.8,2.0
124.0,6.7,3.3,5.7,2.1,2.0
125.0,7.2,3.2,6.0,1.8,2.0
126.0,6.2,2.8,4.8,1.8,2.0
127.0,6.1,3.0,4.9,1.8,2.0
128.0,6.4,2.8,5.6,2.1,2.0
129.0,7.2,3.0,5.8,1.6,2.0
130.0,7.4,2.8,6.1,1.9,2.0
131.0,7.9,3.8,6.4,2.0,2.0
132.0,6.4,2.8,5.6,2.2,2.0
133.0,6.3,2.8,5.1,1.5,2.0
134.0,6.1,2.6,5.6,1.4,2.0
135.0,7.7,3.0,6.1,2.3,2.0
136.0,6.3,3.4,5.6,2.4,2.0
137.0,6.4,3.1,5.5,1.8,2.0
138.0,6.0,3.0,4.8,1.8,2.0
139.0,6.9,3.1,5.4,2.1,2.0
140.0,6.7,3.1,5.6,2.4,2.0
141.0,6.9,3.1,5.1,2.3,2.0
142.0,5.8,2.7,5.1,1.9,2.0
143.0,6.8,3.2,5.9,2.3,2.0
144.0,6.7,3.3,5.7,2.5,2.0
145.0,6.7,3.0,5.2,2.3,2.0
146.0,6.3,2.5,5.0,1.9,2.0
147.0,6.5,3.0,5.2,2.0,2.0
148.0,6.2,3.4,5.4,2.3,2.0
149.0,5.9,3.0,5.1,1.8,2.0